Dates,NORMAL (mm) ,ACTUAL (mm) 
30-Jun-06,10.6,12.41
01-Jul-06,11.32,5.88
02-Jul-06,11.05,10.17
03-Jul-06,9.85,14.22
04-Jul-06,9.68,11.62
05-Jul-06,10.65,9.37
06-Jul-06,10.85,6.49
07-Jul-06,9.9,5.96
08-Jul-06,10.28,9.39
09-Jul-06,9.78,4.23
10-Jul-06,8.87,4.01
11-Jul-06,9.23,5.06
12-Jul-06,9.99,5.61
13-Jul-06,8.9,8.34
14-Jul-06,9.59,10.56
15-Jul-06,9.78,7.09
16-Jul-06,9.27,4.41
17-Jul-06,11.07,6.7
18-Jul-06,10.69,6.31
19-Jul-06,9.79,9.46
20-Jul-06,9.43,10.48
21-Jul-06,10.38,6.44
22-Jul-06,11.27,4.83
23-Jul-06,11.63,4.11
24-Jul-06,10.65,4.02
25-Jul-06,9.9,1.61
26-Jul-06,9.01,6.8
27-Jul-06,9.04,11.55
28-Jul-06,8.86,13.37
29-Jul-06,8.66,6.81
30-Jul-06,9.06,6.2
31-Jul-06,9.13,4.13
01-Aug-06,9.31,6.71
02-Aug-06,9.26,3.25
03-Aug-06,9.13,5.85
04-Aug-06,7.75,6.66
05-Aug-06,8.25,9.83
06-Aug-06,8.07,9.75
07-Aug-06,7.51,5.61
08-Aug-06,7.73,6.84
09-Aug-06,7.95,4.64
10-Aug-06,7.9,6.44
11-Aug-06,7.5,15.29
12-Aug-06,7.74,19.9
13-Aug-06,7.68,8.51
14-Aug-06,7.9,9.33
15-Aug-06,8.21,8.21
16-Aug-06,8.06,10.09
17-Aug-06,7.5,13.33
18-Aug-06,7.1,8.76
19-Aug-06,6.59,4.59
20-Aug-06,6.89,3.65
21-Aug-06,6.93,2.84
22-Aug-06,6.62,2.17
23-Aug-06,6.39,1.14
24-Aug-06,5.87,0.41
25-Aug-06,5.54,0.11
26-Aug-06,4.84,1.51
27-Aug-06,4.37,0.42
28-Aug-06,4.7,1.47
29-Aug-06,4.75,3.28
30-Aug-06,4.65,1.74
31-Aug-06,4.63,1.36
01-Sep-06,4.32,1.32
02-Sep-06,4.95,0.64
03-Sep-06,4.5,2.08
04-Sep-06,4.55,1.32
05-Sep-06,4.24,1.09
06-Sep-06,4.43,2.71
07-Sep-06,4.02,2.5
08-Sep-06,3.7,6.77
09-Sep-06,4.16,4.33
10-Sep-06,4.25,10.13
11-Sep-06,4.56,2.39
12-Sep-06,4.7,6.26
13-Sep-06,3.81,7.76
14-Sep-06,3.97,15
15-Sep-06,4.66,8.48
16-Sep-06,5.38,9.83
17-Sep-06,6.99,9.36
18-Sep-06,6.26,5.95
19-Sep-06,7.7,3.16
20-Sep-06,6.96,4.41
21-Sep-06,7.07,2.39
22-Sep-06,6.64,3.31
23-Sep-06,6.49,3.04
24-Sep-06,6.81,1.89
25-Sep-06,4.76,3.82
26-Sep-06,6.16,5.43
27-Sep-06,6.65,6.31
28-Sep-06,5.95,3.77
29-Sep-06,6.14,1.25
30-Sep-06,6,3.29
01-Oct-06,5.99,4.55
02-Oct-06,7.14,3.93
03-Oct-06,5.86,4.53
04-Oct-06,5.09,3.66
05-Oct-06,4.95,2.29
06-Oct-06,5.61,1.47
07-Oct-06,5.32,3.82
08-Oct-06,6.05,6.63
09-Oct-06,6.04,11.87
10-Oct-06,4.56,1.55
11-Oct-06,4.53,1.98
12-Oct-06,3.62,0.78
13-Oct-06,3.6,0.15
14-Oct-06,3.55,0.62
15-Oct-06,3.78,0.67
16-Oct-06,3.19,1.26
17-Oct-06,3.2,0.96
18-Oct-06,3.55,0.41
19-Oct-06,3.27,0.48
20-Oct-06,3.91,1.45
21-Oct-06,3.51,1.29
22-Oct-06,4.03,0.18
23-Oct-06,3.87,0.26
24-Oct-06,3.87,0.42
25-Oct-06,3.43,0.09
26-Oct-06,3.01,0.75
27-Oct-06,4.46,0.67
28-Oct-06,3.4,2.76
29-Oct-06,2.83,2.44
30-Oct-06,2.66,3.04
31-Oct-06,1.85,1.64
01-Nov-06,2.01,1.93
02-Nov-06,2.68,7.22
03-Nov-06,2.03,16.83
04-Nov-06,1.88,4.61
05-Nov-06,2.55,2.81
06-Nov-06,2.37,4.09
07-Nov-06,2.56,7.43
08-Nov-06,2.94,4.82
09-Nov-06,1.53,1.5
10-Nov-06,1.14,0.24
11-Nov-06,1.07,0.04
12-Nov-06,1.47,0
13-Nov-06,1.69,0.06
14-Nov-06,1.3,0.45
15-Nov-06,1.27,0.21
16-Nov-06,1.06,0.48
17-Nov-06,1,0.4
18-Nov-06,0.74,0.92
19-Nov-06,1.1,2.46
20-Nov-06,1.14,0.86
21-Nov-06,1.24,0.71
22-Nov-06,1.68,0.1
23-Nov-06,1.57,0.49
24-Nov-06,0.85,1.11
25-Nov-06,0.66,1.87
26-Nov-06,0.76,0.19
27-Nov-06,0.3,0.25
28-Nov-06,0.47,0.5
29-Nov-06,0.8,0.45
30-Nov-06,0.64,0
01-Dec-06,0.5,0
02-Dec-06,0.42,0
03-Dec-06,0.79,0
04-Dec-06,0.86,0
05-Dec-06,0.45,0
06-Dec-06,0.47,0
07-Dec-06,0.25,0
08-Dec-06,0.34,0
09-Dec-06,0.55,0
10-Dec-06,0.68,0
11-Dec-06,0.48,0.09
12-Dec-06,0.31,0.39
13-Dec-06,0.51,0.06
14-Dec-06,0.56,0
15-Dec-06,0.36,0
16-Dec-06,0.27,0
17-Dec-06,0.22,0
18-Dec-06,0.12,0
19-Dec-06,0.08,0
20-Dec-06,0.07,0
21-Dec-06,0.12,0
22-Dec-06,0.2,0
23-Dec-06,0.15,0
24-Dec-06,0.26,0
25-Dec-06,0.17,0
26-Dec-06,0.21,0
27-Dec-06,0.21,0
28-Dec-06,0.24,0
29-Dec-06,0.12,0
30-Dec-06,0.18,0
31-Dec-06,0.13,0
01-Jan-07,0.11,0
02-Jan-07,0.09,0
03-Jan-07,0.07,0
04-Jan-07,0.08,0
05-Jan-07,0.11,0
06-Jan-07,0.05,0
07-Jan-07,0.05,0
08-Jan-07,0.04,0
09-Jan-07,0.09,0
10-Jan-07,0.04,0
11-Jan-07,0.1,0
12-Jan-07,0.04,0.2
13-Jan-07,0.03,0.05
14-Jan-07,0.06,0.13
15-Jan-07,0.21,0.14
16-Jan-07,0.06,0.07
17-Jan-07,0.04,0.1
18-Jan-07,0.06,0.43
19-Jan-07,0.03,0.09
20-Jan-07,0.01,0
21-Jan-07,0.01,0
22-Jan-07,0.02,0
23-Jan-07,0.05,0
24-Jan-07,0.09,0
25-Jan-07,0.02,0.12
26-Jan-07,0.03,0.01
27-Jan-07,0.01,0
28-Jan-07,0.02,0
29-Jan-07,0.04,0.04
30-Jan-07,0.14,0.13
31-Jan-07,0.1,0
01-Feb-07,0.15,0
02-Feb-07,0.02,0
03-Feb-07,0.06,0.01
04-Feb-07,0.02,0
05-Feb-07,0.03,0.04
06-Feb-07,0.01,0.01
07-Feb-07,0.01,0.03
08-Feb-07,0.06,0
09-Feb-07,0.05,0
10-Feb-07,0.12,0
11-Feb-07,0.05,0
12-Feb-07,0.02,0
13-Feb-07,0.06,0
14-Feb-07,0.07,0
15-Feb-07,0.06,0
16-Feb-07,0.06,0
17-Feb-07,0.07,0.06
